page,titles,comment_count,source
1,Stroller - what's the difference between a seat that lies flat and a bassinet/carriage,1,dads_corner
1,"3rd trimester, terrible horrible fights with fiancé",3,dads_corner
1,Problems with everything ,7,dads_corner
1,Wife misscaried (first pregnancy),7,dads_corner
1,Dads to be - Poland ,1,dads_corner
1,What would you do?,8,dads_corner
1,Wife in denial about PPD/Postpartum Anger,10,dads_corner
1,"Dads, what would you want as a birth gift? ",6,dads_corner
1,"Jeep Wrangler, 2 door + car seat = ??",12,dads_corner
1,Sudden change of smell,2,dads_corner
1,Baby born 7/11 Mom 4th degree,4,dads_corner
1,Do have issues with feeding before sleeping?,0,dads_corner
1,Sleep,3,dads_corner
1,Supporting our wives,7,dads_corner
1,Baby Names,3,dads_corner
1,What should 1st time Dads do?,7,dads_corner
1,"Any New Dads Around Orange, Ca??",1,dads_corner
1,First Daughter Almost Here. Advice?,5,dads_corner
1,"Pregnant Girlfriend hates me, broke up with me and is now keeping our kid from me!",9,dads_corner
1,Visitor Rules During Covid?,3,dads_corner
1,Mom feels like she lost her first born when second came along,3,dads_corner
1,Other older FTD out there???,6,dads_corner
1,Banned from Check-Ups (COVID),14,dads_corner
1,looking for guidance ,5,dads_corner
1,Toronto Dad’s,0,dads_corner
1,Hi Dads! ??,0,dads_corner
1,Help,9,dads_corner
1,What's it like dads?,4,dads_corner
1,Sleep Issues with Newborn,4,dads_corner
1,Dealing With Gender Disappointment,7,dads_corner
1,Pregnancy Symptoms,0,dads_corner
1,Pre Baby Anxiety,5,dads_corner
1,Pregnant Partner can't stand me,4,dads_corner
1,A Message to Our Community ,0,dads_corner
1,Very anxious about second child,3,dads_corner
1,how to help during the first trimester ,4,dads_corner
1,"Very long, but seriously needing advice. ",14,dads_corner
1,Jogging stroller for taller parents?,1,dads_corner
1,MOODY MOMMY,1,dads_corner
1,Need advice from a male perspective ,10,dads_corner
1,Was It a Miscarriage or Not?,10,dads_corner
1,"Quick question, might be overthinking it.",2,dads_corner
1,New dad. Help please eeeek,4,dads_corner
1,wife needs a friend!,17,dads_corner
1,"Help, my baby hates me!",4,dads_corner
1,Fathers Day,1,dads_corner
1,Female here but would love a guys opinion,10,dads_corner
1,I Need Some Advice,4,dads_corner
1,wife hated me during pregnancy  and now hates me again after birth,8,dads_corner
1,Newborn always fussy if not held,4,dads_corner
2,Gender Disappointment wanted a girl,11,dads_corner
2,Spit up,6,dads_corner
2,6 Months postpartum. Still no sex ,5,dads_corner
2,Soon to be Dad,1,dads_corner
2,Has anyone done an unassisted home birth?,1,dads_corner
2,When do you go to hospital (UK) ,2,dads_corner
2,Missing my partner ,3,dads_corner
2,"Back to work , first time dad",4,dads_corner
2,Needing a man's perspectives ,2,dads_corner
2,Depression and suicide,32,dads_corner
2,New dad - need help,3,dads_corner
2,Advice needed - Seeing Child,7,dads_corner
2,Gender Dissapointment,12,dads_corner
2,We have a date - 7th of May.. but,2,dads_corner
2,I was FIRED from my job,6,dads_corner
2,Push Presents,4,dads_corner
2,Advice needed,2,dads_corner
2,Intro New dad to be ,2,dads_corner
2,First time dad feeling like nothing i do is right.,3,dads_corner
2,I’m back!!!!!!!!,0,dads_corner
2,New(ish) Dad needs help with marriage ,2,dads_corner
2,"Advice needed, going crazy.",14,dads_corner
2,Post-partum support,2,dads_corner
2,just need to vent and talk it out ,3,dads_corner
2,First-time Dad Hacks,2,dads_corner
2,In the delivery room,2,dads_corner
2,Join the Coronavirus (Covid-19) Support Resources Group ,0,dads_corner
2,Supporting my Wife with Smoothies,4,dads_corner
2,Recently became a father,2,dads_corner
2,Hello ,2,dads_corner
2,Delivery Room,3,dads_corner
2,Gender Disappointment ,4,dads_corner
2,In need of advice......,5,dads_corner
2,Dad Talk,0,dads_corner
2,Pregnant partner hating on me (16 weeks) is it normal to be struggling a bit with it?,5,dads_corner
2,Aussie Dads,0,dads_corner
2,Work Vs family,1,dads_corner
2,In need of guidance..,4,dads_corner
2,"Trapped... We got pregnant, Then she left me. What are my options?",4,dads_corner
2,Gender Disappointment- How to cope?,3,dads_corner
2,First Time Dad Mistakes,7,dads_corner
2,I can't put the baby to sleep in the crib,3,dads_corner
2,How to deal with postpartum depression??,2,dads_corner
2,please help ,2,dads_corner
2,PREGNANT EX GIRLFRIEND IS SUPER CONFUSING,19,dads_corner
2,Family Visit,3,dads_corner
2,AITA husband wants new job and I am not keen,5,dads_corner
2,Need advice on my dad (daughters Grandad) ,3,dads_corner
2,Girl Nursury,1,dads_corner
2,Desperately need a dad’s opinion ,3,dads_corner
3,Unsure about circumsiscian,5,dads_corner
3,My Pregnant Girlfriend Has Become Distant,5,dads_corner
3,Narrowing down pregnancy resources?,3,dads_corner
3,Is anyone one else taking time off for the baby?,26,dads_corner
3,Dad depression ,7,dads_corner
3,"Scared to stay, Even more scared to leave!",12,dads_corner
3,Counselling homework: men who never wanted kids before,5,dads_corner
3,Health/Offload - Time.. does that exist?,5,dads_corner
3,My mom is a b1tc4,1,dads_corner
3,Bottle Refusal,2,dads_corner
3,Wife wants me to get Vasectomy 😕,15,dads_corner
3,Sleep issues for 3 year old. ,2,dads_corner
3,"I'm the real dad, but my son probably doesn't know",9,dads_corner
3,Research: help us design technology for dads in infant feeding setting,0,dads_corner
3,Should i be upset,6,dads_corner
3,Pregnant No Communication/Cold,7,dads_corner
3,Fůcķ the confusing vegetable chart  ,6,dads_corner
3,away at 37 weeks,2,dads_corner
3,I work away from home,1,dads_corner
3,Baby health advice,0,dads_corner
3,Asking for Advice regarding Family Drama ...,12,dads_corner
3,Just saying hi,3,dads_corner
3,Suggestions Welcome,2,dads_corner
3,What do u wish you could get back from your relationship before baby arrived?,3,dads_corner
3,Help please - dog lover,7,dads_corner
3,How are you guys dealing with partners mood swings? ,6,dads_corner
3,Varicocele experience,4,dads_corner
3,Opinions,4,dads_corner
3,Sick and tired of being sick and tired,4,dads_corner
3,Security Cameras Suggestions - need it when I leave my Kids with the sitter,3,dads_corner
3,A lost father,6,dads_corner
3,I think my wife has gone crazy ,11,dads_corner
3,1ft time dad,3,dads_corner
3,Is don't want more children and my partner is pregnant ,4,dads_corner
3,When to put car seats in?,6,dads_corner
3,Separation,1,dads_corner
3,PLEASE HELP,5,dads_corner
3,Difficulty understanding.,2,dads_corner
3,Abnormality in 10wk scan,2,dads_corner
3,Wanting Advice from dads,1,dads_corner
3,Headaches & symptoms just me or normal?,1,dads_corner
3,Conceiving date confusion,9,dads_corner
3,Feeling worried,4,dads_corner
3,Pregnant partner asked for a break,2,dads_corner
3,No connection,1,dads_corner
3,New dads,2,dads_corner
3,asking for advice ,2,dads_corner
3,first time dad,3,dads_corner
3,My lady is very moody. ,2,dads_corner
3,Baby Tech,11,dads_corner
4,Starting,1,dads_corner
4,A mans advice,2,dads_corner
4,Need some advice please,5,dads_corner
4,my wife is 8 months pregnant and wants a divorce.,1,dads_corner
4,Distance and disinterest,14,dads_corner
4,Any tips on learning to stop swearing?,6,dads_corner
4,"Gender disappointment, I don't think they got it right.",8,dads_corner
4,Wife hates me,3,dads_corner
4,dady depression after babies come,8,dads_corner
4,need a mans perspective ,12,dads_corner
4,Food for thought,1,dads_corner
4,Wife has friends but I do not,3,dads_corner
4,Still no movement,9,dads_corner
4,Expecting 3rd Child,1,dads_corner
4,5th time's a charm,0,dads_corner
4,First kid,7,dads_corner
4,Maternal instinct,1,dads_corner
4,Am I stress out too much?,1,dads_corner
4,Shared business owner with wife now its all on me!!,2,dads_corner
4,anyone been in this same situation?,5,dads_corner
4,Best baby carrier for bigger guys,2,dads_corner
4,Getting Loud with my almost 2 year old little girl,5,dads_corner
4,Can’t seem to do anything right,3,dads_corner
4,ireland/scotland,0,dads_corner
4,Second kid,3,dads_corner
4,Need a guys take on things!,3,dads_corner
4,Need some advise...,2,dads_corner
4,Mood swings!,7,dads_corner
4,Implementing consequences when husband takes revenge,13,dads_corner
4,Advice please!,1,dads_corner
4,Gender Reveal - Why is Husband Upset?,8,dads_corner
4,Girlfriend saying I’m not doing enough?,13,dads_corner
4,Dads only open chat,33,dads_corner
4,Aquaphore on baby’s hair!,0,dads_corner
4,Help,5,dads_corner
4,From one dad to another,1,dads_corner
4,Confused and no where to turn,5,dads_corner
4,it's a boy,3,dads_corner
4,Any older father's with advice?,4,dads_corner
4,Falsely accused of watching porn,7,dads_corner
4,My wife seems to overdo many things about the baby,5,dads_corner
4,I’m happy. My wife isn’t.,16,dads_corner
4,Hello fellas please help me out,1,dads_corner
4,I’m a dad now - here’s is what I’ve learned,13,dads_corner
4,questions for father's,2,dads_corner
4,Fiancé and I fighting non stop,5,dads_corner
4,Am I being unfair???,2,dads_corner
4,Sleeping through help,2,dads_corner
4,Father's rights,20,dads_corner
4,Mother of my child left me for another man,5,dads_corner
5,Dog to my partner and cutting me out,1,dads_corner
5,I want to move close to family... husband doesn’t?,3,dads_corner
5,Need help!,6,dads_corner
5,"Advice from men, please!",2,dads_corner
5,How can I protect my kids on the internet?,4,dads_corner
5,Hi Guys! Need Advice,9,dads_corner
5,Paternity test,3,dads_corner
5,Name disagreement,4,dads_corner
5,I’m new and don’t know what to do!,12,dads_corner
5,Three last names and only child,4,dads_corner
5,Helpless Wife,5,dads_corner
5,[***] Bless You,6,dads_corner
