page,titles,comment_count
1,Porn,43
1,Need advice - why is he obsessed ,19
1,Sex after baby? ,15
1,Gf throwing up yellow liquid during morning sickness. Is this normal?,10
1,My baby has an extra chromosome? XXY,12
1,Begging for sex!,100
1,Her farts.... They're killin me. ,7
1,Advice please! Hubby is down. ,3
1,Circumcision: What are you choosing and why?,25
1,Wife won't listen,23
1,New dad sleeping in hospital waiting room,20
1,Mother In Law In Town,14
1,Bad Dreams For Me (Dad),11
1,Fed up with gf's lack of affection,11
1,Night feeds and working.,14
1,Semen in underwear?!?!,17
1,Is naming son with your own name a good idea?,12
1,Wife Suddenly Cant Stand My Smell,15
1,Lack of Affection - 5/6Weeks Pregnant,17
1,Tough time in first trimester,10
1,So now she wants me to be an every other weekend dad.,8
1,hospital gift ideas for my boyfriend,15
1,GF pregnant and has stopped loving me.,9
1,The Mother of my child hates me an I have no clue why,7
1,7 months pregnant no sex,14
1,pregnant wife seems to hate me,13
1,ready to blow my brains out.,17
1,To All The Ladies Who Think I am Rude,138
1,Can't have sex with my wife while she is pregnant.,8
1,Push present ideas?!?!,43
1,Wife thinks I'm selfish ,24
1,Loving Spouse more than Child,20
1,is ivy a stripper name?,9
1,so sick of masturbation,10
1,gf is pregnant with no ring ,15
1,Is the baby mine?,38
1,"Jackson, Jaxon, or Jaxen? ",49
1,making me fat!,8
1,Chase-,19
1,Cleaning Daughter's Vagina - And She Laughs!,9
1,My son always looks worried ,11
1,Touching My Wife's Pregnant Belly,46
1,Life after miscarriage,21
1,baby monitor vs ip camera as baby monitor ,8
1,dad is always horny advice,10
1,manly minivan?,28
1,very strong smell,25
1,Dramatic wife,29
1,dizzy wife,17
1,the godfather... well not really,7
2,I need a guys help! ,11
2,crunch time,1
2,Sleeping In The Nude,14
2,breastfeeding turn on?,12
2,Babymoon and Push Gifts ,38
2,She wants sex 24/7,11
2,Staying at the hospital,18
2,Diaper Party,10
2,Flat......Eggshell or Satin?,16
2,Thinking of joining the Navy,26
2,No Sexxx,21
2,anal,19
2,having a daughter vs having a son,14
2,Pee breaks during sex...,11
2,Vasectomy Experiences?,9
2,Sympathy weight gain,21
2,Selfishly Horny,17
2,why am I the punching bag,20
2,The dog and my wife,12
2,Is George Carlin right?,54
2,pregnancy gift for wife,59
2,NOT MORNING SICKNESS (all DAY SICKNESS),19
2,Best sexual positions,19
2,men's opinion on circumcision,38
2,guys reactions to pregnancy?,18
2,Diaper bag,25
2,Question about C-sections,10
2,Gay baby shower,11
2,Dirty nursery rhymes ?,30
2,sex in the first trimester,17
2,Was your wife's mother in the room during delivery,36
2,"Finding out the gender tomorrow, very nervous",12
2,50 Shades of Grey-guys perspective,26
2,motorcycle riding,19
2,What are the best thin condoms? ,25
2,Pregnant wife = Fat husband?,10
2,Wife forbids me to get tattoos,31
2,Walking Dead Season 3,7
2,Facebook announcement ideas ... For guys,12
2,First Time Dad Needs Some Input,9
2,no sex and it's KILLING me!,40
2,for dads who helped potty train their son,12
2,Excessive fights during pregnancy,32
2,past coming back to haunt me,50
2,calling your wife beautiful ,20
2,My husband wants to have sex...,21
2,"Rear facing infant seat, regular can pickup truck.",12
2,Video Game Raging,8
2,More sex or less sex?!?!,27
2,no belly touching during sex ,14
3,Being with my wife is so stressful. ,18
3,girl disappointment,19
3,big baby,18
3,Arguing more,7
3,CBR vs. Viacord,7
3,3rd is a...,5
3,Car Seat Trouble,29
3,Songs that Daddy sings,11
3,Baby Girl Calling Everybody Daddy,8
3,Hospital Bag - For Us Men,23
3,What to do? Baby needs soft bed. ,11
3,"she left me and she is pregnant,my heart will explode :(((((",11
3,building a dog house,14
3,sex & breast milk,26
3,When to take baby to sporting event,7
3,"Dating Less Than 3 Months, How To Tell Him Im Pregnant?",15
3,33 years old; hope I'm not too old!,13
3,Baby's Sex,9
3,Watching birth of your child ,32
3,Short Term Disability Question,9
3,"Husband afraid sex will ""hurt"" baby and I",10
3,Dads opinions on girl names,19
3,Baby Girl rejecting daddy?,7
3,"baby shower, say what?",9
3,Am I the only one stuck doing night time feedings?,21
3,DH sad about having girl,13
3,What are you looking forward to?,24
3,husband doesn't want sex,13
3,How important is a Junior?,19
3,having a girl and I'm a little worried,9
3,Overwhelmed/anxious/depressed,8
3,Baby monitors ,10
