page,titles,comment_count
1,Stroller - what's the difference between a seat that lies flat and a bassinet/carriage,1
1,"3rd trimester, terrible horrible fights with fiancé",3
1,Problems with everything ,7
1,Wife misscaried (first pregnancy),7
1,Dads to be - Poland ,1
1,What would you do?,8
1,Wife in denial about PPD/Postpartum Anger,10
1,"Dads, what would you want as a birth gift? ",6
1,"Jeep Wrangler, 2 door + car seat = ??",12
1,Sudden change of smell,2
1,Baby born 7/11 Mom 4th degree,4
1,Do have issues with feeding before sleeping?,0
1,Sleep,3
1,Supporting our wives,7
1,Baby Names,3
1,What should 1st time Dads do?,7
1,"Any New Dads Around Orange, Ca??",1
1,First Daughter Almost Here. Advice?,5
1,"Pregnant Girlfriend hates me, broke up with me and is now keeping our kid from me!",9
1,Visitor Rules During Covid?,3
1,Mom feels like she lost her first born when second came along,3
1,Other older FTD out there???,6
1,Banned from Check-Ups (COVID),14
1,looking for guidance ,5
1,Toronto Dad’s,0
1,Hi Dads! ??,0
1,Help,9
1,What's it like dads?,4
1,Sleep Issues with Newborn,4
1,Dealing With Gender Disappointment,7
1,Pregnancy Symptoms,0
1,Pre Baby Anxiety,5
1,Pregnant Partner can't stand me,4
1,A Message to Our Community ,0
1,Very anxious about second child,3
1,how to help during the first trimester ,4
1,"Very long, but seriously needing advice. ",14
1,Jogging stroller for taller parents?,1
1,MOODY MOMMY,1
1,Need advice from a male perspective ,10
1,Was It a Miscarriage or Not?,10
1,"Quick question, might be overthinking it.",2
1,New dad. Help please eeeek,4
1,wife needs a friend!,17
1,"Help, my baby hates me!",4
1,Fathers Day,1
1,Female here but would love a guys opinion,10
1,I Need Some Advice,4
1,wife hated me during pregnancy  and now hates me again after birth,8
1,Newborn always fussy if not held,4
2,Gender Disappointment wanted a girl,11
2,Spit up,6
2,6 Months postpartum. Still no sex ,5
2,Soon to be Dad,1
2,Has anyone done an unassisted home birth?,1
2,When do you go to hospital (UK) ,2
2,Missing my partner ,3
2,"Back to work , first time dad",4
2,Needing a man's perspectives ,2
2,Depression and suicide,32
2,New dad - need help,3
2,Advice needed - Seeing Child,7
2,Gender Dissapointment,12
2,We have a date - 7th of May.. but,2
2,I was FIRED from my job,6
2,Push Presents,4
2,Advice needed,2
2,Intro New dad to be ,2
2,First time dad feeling like nothing i do is right.,3
2,I’m back!!!!!!!!,0
2,New(ish) Dad needs help with marriage ,2
2,"Advice needed, going crazy.",14
2,Post-partum support,2
2,just need to vent and talk it out ,3
2,First-time Dad Hacks,2
2,In the delivery room,2
2,Join the Coronavirus (Covid-19) Support Resources Group ,0
2,Supporting my Wife with Smoothies,4
2,Recently became a father,2
2,Hello ,2
2,Delivery Room,3
2,Gender Disappointment ,4
2,In need of advice......,5
2,Dad Talk,0
2,Pregnant partner hating on me (16 weeks) is it normal to be struggling a bit with it?,5
2,Aussie Dads,0
2,Work Vs family,1
2,In need of guidance..,4
2,"Trapped... We got pregnant, Then she left me. What are my options?",4
2,Gender Disappointment- How to cope?,3
2,First Time Dad Mistakes,7
2,I can't put the baby to sleep in the crib,3
2,How to deal with postpartum depression??,2
2,please help ,2
2,PREGNANT EX GIRLFRIEND IS SUPER CONFUSING,19
2,Family Visit,3
2,AITA husband wants new job and I am not keen,5
2,Need advice on my dad (daughters Grandad) ,3
2,Girl Nursury,1
2,Desperately need a dad’s opinion ,3
3,Unsure about circumsiscian,5
3,My Pregnant Girlfriend Has Become Distant,5
3,Narrowing down pregnancy resources?,3
3,Is anyone one else taking time off for the baby?,26
3,Dad depression ,7
3,"Scared to stay, Even more scared to leave!",12
3,Counselling homework: men who never wanted kids before,5
3,Health/Offload - Time.. does that exist?,5
3,My mom is a b1tc4,1
3,Bottle Refusal,2
3,Wife wants me to get Vasectomy 😕,15
3,Sleep issues for 3 year old. ,2
3,"I'm the real dad, but my son probably doesn't know",9
3,Research: help us design technology for dads in infant feeding setting,0
3,Should i be upset,6
3,Pregnant No Communication/Cold,7
3,Fůcķ the confusing vegetable chart  ,6
3,away at 37 weeks,2
3,I work away from home,1
3,Baby health advice,0
3,Asking for Advice regarding Family Drama ...,12
3,Just saying hi,3
3,Suggestions Welcome,2
3,What do u wish you could get back from your relationship before baby arrived?,3
3,Help please - dog lover,7
3,How are you guys dealing with partners mood swings? ,6
3,Varicocele experience,4
3,Opinions,4
3,Sick and tired of being sick and tired,4
3,Security Cameras Suggestions - need it when I leave my Kids with the sitter,3
3,A lost father,6
3,I think my wife has gone crazy ,11
3,1ft time dad,3
3,Is don't want more children and my partner is pregnant ,4
3,When to put car seats in?,6
3,Separation,1
3,PLEASE HELP,5
3,Difficulty understanding.,2
3,Abnormality in 10wk scan,2
3,Wanting Advice from dads,1
3,Headaches & symptoms just me or normal?,1
3,Conceiving date confusion,9
3,Feeling worried,4
3,Pregnant partner asked for a break,2
3,No connection,1
3,New dads,2
3,asking for advice ,2
3,first time dad,3
3,My lady is very moody. ,2
3,Baby Tech,11
4,Starting,1
4,A mans advice,2
4,Need some advice please,5
4,my wife is 8 months pregnant and wants a divorce.,1
4,Distance and disinterest,14
4,Any tips on learning to stop swearing?,6
4,"Gender disappointment, I don't think they got it right.",8
4,Wife hates me,3
4,dady depression after babies come,8
4,need a mans perspective ,12
4,Food for thought,1
4,Wife has friends but I do not,3
4,Still no movement,9
4,Expecting 3rd Child,1
4,5th time's a charm,0
4,First kid,7
4,Maternal instinct,1
4,Am I stress out too much?,1
4,Shared business owner with wife now its all on me!!,2
4,anyone been in this same situation?,5
4,Best baby carrier for bigger guys,2
4,Getting Loud with my almost 2 year old little girl,5
4,Can’t seem to do anything right,3
4,ireland/scotland,0
4,Second kid,3
4,Need a guys take on things!,3
4,Need some advise...,2
4,Mood swings!,7
4,Implementing consequences when husband takes revenge,13
4,Advice please!,1
4,Gender Reveal - Why is Husband Upset?,8
4,Girlfriend saying I’m not doing enough?,13
4,Dads only open chat,33
4,Aquaphore on baby’s hair!,0
4,Help,5
4,From one dad to another,1
4,Confused and no where to turn,5
4,it's a boy,3
4,Any older father's with advice?,4
4,Falsely accused of watching porn,7
4,My wife seems to overdo many things about the baby,5
4,I’m happy. My wife isn’t.,16
4,Hello fellas please help me out,1
4,I’m a dad now - here’s is what I’ve learned,13
4,questions for father's,2
4,Fiancé and I fighting non stop,5
4,Am I being unfair???,2
4,Sleeping through help,2
4,Father's rights,20
4,Mother of my child left me for another man,5
5,Dog to my partner and cutting me out,1
5,I want to move close to family... husband doesn’t?,3
5,Need help!,6
5,"Advice from men, please!",2
5,How can I protect my kids on the internet?,4
5,Hi Guys! Need Advice,9
5,Paternity test,3
5,Name disagreement,4
5,I’m new and don’t know what to do!,12
5,Three last names and only child,4
5,Helpless Wife,5
5,[***] Bless You,6
5,Disappointed first time dad how can I help?,4
5,"Becoming a dad for the first time, baby due 7th December.",2
